"" ,"License ->Content in this spreadsheet is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license. Details of the license can be seen here: https://creativecommons.org/licenses/by-nc-sa/4.0","Citation->Recommended citation: India Sand Watch, Veditum India Foundation. Accessed via http://sandwatch.envmonitoring.in on 4/12/2026",
"Title","Would you like to submit this report anonymously?","Date of Observation","Location","Are machines used in the process?","Can you specify types of machines/ equipment","Notes from the location","Pictures","State","District","River","Published Date"
"Ken River - Chhatarpur, Madhya Pradesh - 23/02/2026","No","23-02-2026 18:30:00","Serial Number,Latitude,Longitude
,25.008817,80.237685
","Yes","Trucks, Poclains, tractors","80+ trucks carrying sand, sand being extracted actively using poclains. Bundh created to enable instream mining, giving access to center of stream and affecting river flow. Close to the Ken river bridge.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000182031_15764fdc-0780-4049-9d53-3f1355420def.jpeg?generation=1772349958235968&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000182030_16fa4446-9d2b-4bfd-acbc-c0e73962f721.jpeg?generation=1772349959865548&alt=media","Madhya Pradesh","Chhatarpur","Ken","01-03-2026"
"Ken river - Banda, Uttara Pradesh - 25th Feb 2026","No","25-02-2026 18:30:00","Serial Number,Latitude,Longitude
,25.707502,80.3215
","Yes","2 poclain madhines","2 poclain machines being used to do instream sand (moram) mining in the active mainstream of the river, by the mine operators at Sandi. This is in Sandi village, Pailani tehsil, Banda district, Uttar Pradesh, on the Ken river


This mining observation report has been generated based on sightings of sand mining from the India Sand Watch and Veditum network, by Journalist Ashish Dixit which has date, time and location stamped images as well.


Have observations of sand mining in Indian rivers? Email 
sandwatch@veditum.org","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fscreenshot_2026_03_11_122313_62ea2697-e051-4148-99a2-daa780a08959.jpeg?generation=1773212052849913&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fashish_77dd2caa-f048-4aa3-9bd8-1bab4ff51975.jpeg?generation=1773212043072785&alt=media","Uttar Pradesh","Banda","Ken","11-03-2026"
"Ken river - Banda, Uttar Pradesh - 01st March 2026","No","01-03-2026 18:30:00","Serial Number,Latitude,Longitude
,25.707808,80.3217
","Yes","Poclain machine (1)","Poclain machine being used to do instream mining from an active channel, in the Ken River at Sandi village in Pailani tehsil, Banda district.


This mining observation report has been generated based on sightings of sand mining from a community member from the India Sand Watch and Veditum network, which has date, time and location stamped images as well.


Have observations of sand mining in Indian rivers? Email 
sandwatch@veditum.org","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fscreenshot_2026_03_11_123831_0f247415-9236-4929-932e-c0a9d176d82c.jpeg?generation=1773212929740814&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fscreenshot_2026_03_11_123755_b58c4865-55f9-4f7e-a23a-b3596e465029.jpeg?generation=1773212900879532&alt=media","Uttar Pradesh","Banda","Ken","11-03-2026"
"Ken River - Banda, Uttar Pradesh - 8th March 2026","No","08-03-2026 18:30:00","Serial Number,Latitude,Longitude
,25.7044917,80.31648502
","Yes","3 or more poclains, multiple tractors","Instream mining in active channel of the Ken river through a poclain. Multiple trucks seen lined up to collect sand. A very deep pit being mined through one or more poclains inside the pit. Access routes seen made inside the river for poclain and tractors to enter.


This mining observation report has been generated based on sightings of sand mining from a community member from the India Sand Watch and Veditum network, which has date, time and location stamped images as well.


Have observations of sand mining in Indian rivers? Email 
sandwatch@veditum.org","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fushaji_0803_25_40611723-0032-40ec-8013-da84662b8dd2.jpeg?generation=1773223172834440&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fushaji_0803_24_c47358d5-c108-42ac-ae8c-911115b2a608.jpeg?generation=1773223173190243&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fushaji_0803_19_cc692c22-39e3-4851-b5d7-559a5d802848.jpeg?generation=1773223173513760&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fushaji_0803_17_8743bb45-f7f2-48db-b5d7-24de53bbf3c5.jpeg?generation=1773223173852126&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fushaji_0803_15_835ab3c7-1361-45fb-a6ef-3755cda7508f.jpeg?generation=1773223174180827&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fushaji_0803_11_fb0fa659-22f4-447d-9002-4147c74a22e3.jpeg?generation=1773223174519438&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fushaji_0803_9_0fbbb598-b17e-4473-ba47-1d9833f7a318.jpeg?generation=1773223174832771&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fushaji_0803_7_96d91753-5412-4833-8b93-be489f4a8b0f.jpeg?generation=1773223175154440&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fushaji_0803_3281f5f0-93f3-4b93-acae-cbda6ef61c42.jpeg?generation=1773223175443112&alt=media","Uttar Pradesh","Banda","Ken","11-03-2026"
"Chambal River - Morena, Madhya Pradesh - 27th Feb 2025","Yes","27-02-2025 18:30:00","Serial Number,Latitude,Longitude
,26.656182,77.903432
","Yes","Poclain","चंबल  नदी पर राजघाट मुरैना पर पॉक्लेन मशीन,हाई वा, ट्रैक्टर से खनन आगरा मुंबई हाइवे के ब्रिज़ और चम्बल घड़ियाल अभयारण्य के पास


यह खनन सुचना रिपोर्ट इंडिया सैंड वॉच और वेदितम नेटवर्क के एक सामुदायिक सदस्य द्वारा देखे गए रेत खनन के दृश्यों के आधार पर तैयार की गई है।


क्या आपने भारतीय नदियों में रेत खनन के कोई दृश्य देखे हैं? 
sandwatch@veditum.org
 पर ईमेल करें।


Mining with Poclain machine, Tractor at Rajghat Morena on Chambal River, near the bridge of Agra Mumbai Highway and Chambal Gharial sanctuary.


This mining observation report has been generated based on sightings of sand mining from a community member from the India Sand Watch and Veditum network.


Have observations of sand mining in Indian rivers? Email 
sandwatch@veditum.org","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fanonymous_27022026_ccac046c-e764-4950-b3c0-f616e771fdb9.jpeg?generation=1773224205636344&alt=media","Madhya Pradesh","Morena","Chambal","11-03-2026"
"Sindh River - Bhind, Madhya Pradesh - 21st Feb 2026","Yes","21-02-2026 18:30:00","Serial Number,Latitude,Longitude
,26.277124,78.826390
","Yes","Trucks and loaders to extract sand illegally.","This is the regular activity in the Sindh River of my area.


This mining observation report has been generated based on sightings of sand mining from a community member from the India Sand Watch and Veditum network.


Have observations of sand mining in Indian rivers? Email 
sandwatch@veditum.org","N/A","Madhya Pradesh","Bhind","Sindh","11-03-2026"
"Chambal River - Morena, Madhya Pradesh - 24th Jan 2026","Yes","24-01-2026 18:30:00","Serial Number,Latitude,Longitude
,26.65417,77.9
","Yes","Trucks and tractors","It is a protected area for reptiles like crocodiles and turtles for which sand is crucial. But because of unchecked mining over years there is hardly any untouched sandbanks left in this entire stretch of Chambal


This mining observation report has been generated based on sightings of sand mining from a community member from the India Sand Watch and Veditum network.


Have observations of sand mining in Indian rivers? Email 
sandwatch@veditum.org","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fchambal_anonymous_24012026_445560a9-be1b-441a-83ee-4bca28595a5b.jpeg?generation=1773225700936886&alt=media","Madhya Pradesh","Morena","Chambal","11-03-2026"
"Bagain River - Banda, Uttar Pradesh - 18th March 2026","Yes","18-03-2026 18:30:00","Serial Number,Latitude,Longitude
,25.264711667,80.67855166
","Yes","8 poclain machines (or more)","The lease boundary given by government on the Bagain river, does not take into account which stretches of the river has sand deposits or does not have. The lease boundary has been given without taking into consideration the presence of sand deposits. The lease boundary also includes areas where there are no sand deposits and river is flowing actively. The administration is involved in this kind of illegal allocation.


Instream mechanised sand mining (using poclain machines) is happening in active channel, which is illegal. This is impacting the environment and biodiversity. Minors are also making routes in the river for accessing / transporting.


This mining observation report has been generated based on sightings of sand mining from a community member from the India Sand Watch and Veditum network, which has date, time and location stamped images as well.


Have observations of sand mining in Indian rivers? Email 
sandwatch@veditum.org","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fscreenshot_2026_03_18_160716_eab0ee3c-ea57-4246-a432-c77e1f3abc80.jpeg?generation=1773830902711936&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fscreenshot_2026_03_18_160833_fd136f45-fa65-41f1-85ba-948da8739916.jpeg?generation=1773830903886355&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fscreenshot_2026_03_18_161245_68687116-ad0e-406b-b2f2-62e4bb4ce6c3.jpeg?generation=1773830904286633&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fbagain_18032026_5_986016d5-60d3-4c24-90dc-af07c380161f.jpeg?generation=1773830665623818&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fbagain_18032026_4_fc25bb11-b7f5-4b2d-b970-d88f79d1c89e.jpeg?generation=1773830666083951&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fbagain_18032026_3_24b8441e-5081-45c6-b963-158158d098be.jpeg?generation=1773830666455349&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fbagain_032026_2_5210f74c-cce7-4c98-8c5d-24d783641b73.jpeg?generation=1773830666796028&alt=media","Uttar Pradesh","Banda","Bagen","18-03-2026"
"Ken River - Banda, Uttar Pradesh - 13th March 2026","No","13-03-2026 18:30:00","Serial Number,Latitude,Longitude
,25.70807,80.327505
","Yes","Poclain machine","यूपी बुंदेलखंड के बांदा मे ग्राम सांडी तहसील पैलानी मे खंड 60 में खदान संबधित कोई अभी नहीं सूचना बोर्ड नहीं लगाया गया है। बिना रॉयल्टी (कहीं और से एमएम 11 लेकर ) यह अवैध खनन केन नदी मे किया जा रहा है। इसमें बीजेपी के पूर्व विधायक का खेल है। 


In Banda, Bundelkhand, Uttar Pradesh, in the village of Sandi, Tehsil Pailani, no information board has yet been installed regarding the mining in Block 60. This illegal mining is being carried out in the Ken River without royalty (by obtaining MM11 from elsewhere). A former BJP MLA is involved in this.


This case report has been generated based on sightings of sand mining from the India Sand Watch and Veditum network. Here is the link to the tweet by Journalist Ashish Dixit which has date, time and location stamped images as well: 
https://x.com/AshishsagarD/status/2033793265431154697


Have observations of sand mining in Indian rivers? Email at 
sandwatch@veditum.org","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fscreenshot_2026_03_19_105742_33609425-e0d4-4f2e-a5c6-1e49b1631861.jpeg?generation=1773898101055568&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fscreenshot_2026_03_19_105803_4988cd3e-5759-42bb-b07e-2a836876c18a.jpeg?generation=1773898101595995&alt=media","Uttar Pradesh","Banda","Ken","19-03-2026"
"Ken River - Banda, Uttar Pradesh - 13th March 2026","Yes","13-03-2026 18:30:00","Serial Number,Latitude,Longitude
,25.70985005,80.32916826
","Yes","Polclain machine","Machines used to do instream mining. Very deep pits created by excavating sand.


This mining observation report has been generated based on sightings of sand mining from a community member from the India Sand Watch and Veditum network, which has date, time and location stamped images as well.


Have observations of sand mining in Indian rivers? Email 
sandwatch@veditum.org","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fsandi_ken_13032026_18_e270ad1b-7731-45b2-8f39-cf7b4655d7bd.jpeg?generation=1773913450674861&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fsandi_ken_13032026_17_2cc59ab1-8fb2-4326-9c73-00ade36213d2.jpeg?generation=1773913451055549&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fsandi_ken_13032026_16_21340b90-6b9b-42d1-8fb8-c480c0647892.jpeg?generation=1773913451446196&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fsandi_ken_13032026_12_e88096a5-068a-4107-a6a9-2bdfc5da4339.jpeg?generation=1773913451852396&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fsandi_ken_13032026_9_e05921be-0363-45ef-a9a6-beccde8f2b5b.jpeg?generation=1773913452176409&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fsandi_ken_13032026_6_b1f4fbec-b313-4e12-bb9e-5cc702e84df8.jpeg?generation=1773913452595290&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fsandi_ken_13032026_5_279b0e40-0d3d-4830-8cd1-1c1e3d78f786.jpeg?generation=1773913452929307&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fsandi_ken_13032026_4_d5e103e7-366a-4979-9c07-fe40f962d1e8.jpeg?generation=1773913453263864&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fsandi_ken_13032026_3_04a4e97c-2d91-4077-932b-93fecd5156d4.jpeg?generation=1773913453610522&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fsandi_ken_13032026_cd3b08c2-08ef-4ea8-9d2f-7344cfbdad5e.jpeg?generation=1773913453948756&alt=media","Uttar Pradesh","Banda","Ken","19-03-2026"
